questionID,Category,Gender,Question,Answer,correctAnswer,explanation
98,sleep,,"If you are struggling to stay awake at your desk, you should:",drink lots of coffee; drink an energy drink; eat chocolate; desk stretches,3,"Desk stretches: Link your hands, push your arms out in front of you and then raise them above your head. Lift your shoulders up towards your ears and gently roll them backward. Extend your legs in front of you and point and flex your toes. Hug your knees, one at a time, towards your chest."
99,sleep,,"If you are struggling to stay focused at your desk, you should:",change work focus; drink lots of coffee; drink an energy drink; eat chocolate,0,"When your work pile seems endless, it can be easy to lose enthusiasm and slip into an energy slump. Breaking your ""to do"" list into small, manageable tasks and taking a short break after each one will help you stay focused. Leave the simple jobs for early afternoon so that you donêt have to concentrate too hard. "
100,sleep,,Can oversleeping cause an issue?,no; makes no difference; yes,2,"Oversleeping has been linked to physical problems such as diabetes and heart disease. According to the Mental Health Foundation, oversleeping can occur in 15-40% of people with depression."
101,smoking,,9 months after you quit smoking your lung capacity improves by? ,5%; 10%; 15%; 20%,1,People breathe more easily and cough less when they give up smoking because their lung capacity improves by up to 10% within nine months. 
102,smoking,m,Men who quit smoking by 30 add how many years to the life?,2 years; 4 years; 6 years;  8 years; 10 years,4,"Half of all long-term smokers die early from smoking-related diseases, including heart disease, lung cancer and chronic bronchitis. Men who quit smoking by 30 add 10 years to their life. Quitting not only adds years to your life, but it also greatly improves the chance of a disease-free, mobile, happier old age. "
103,smoking,,People who quit smoking at 60 add how many years to their life?,3 year; 4 years; 5 years; 6 years,0,"People who kick the habit at 60 add three years to their life. In other words, it's never too late to benefit from stopping. Quitting not only adds years to your life, but it also greatly improves the chance of a disease-free, mobile, happier old age. "
104,smoking,,Which ingredient in a cigarette causes cancer?,Nicotine; Tar; Acetic Acid,1,"Nicotine doesn't cause cancer. It's the other toxic chemicals in cigarettes, such as tar and carbon monoxide, that damage your health. Nicotine replacement therapy gets nicotine into your body without the dangerous poisons. "
105,smoking,,Nicotine replacement products should:,are a waste of time; not be used together; be used in combination,2,"Using more than one product at a time   known as combination therapy   can be a good thing as it often increases your chances of success. A popular strategy is to use nicotine patches to reduce everyday cravings plus a nasal spray, gum, lozenges, inhalator or mouth spray for sudden cravings. "
106,smoking,,If you are pregnant should you use nicotine replacement products:,no; now and then; yes ,2,"If you're pregnant, it's a great time to quit as smoking is much more dangerous to you and your baby. Talk to your stop smoking adviser or midwife about your treatment options, as the prescription tablets Champix and Zyban are not recommended in pregnancy. However, NRT products such as patches, gum, lozenges, micro tabs, the inhalator and nasal sprays may be recommended if you're finding it hard to quit. "
107,smoking,,The biggest problem with nicotine replacement products is:,not used for long enough; they are addictive; nicotine release is too fast,0,"Most people using nicotine products do not become dependent on them. In fact, the biggest problem with NRT is that people don't use enough of it for long enough. The nicotine from patches, gum and so on is released into your system much more slowly and in a different way than nicotine from a cigarette. Your body absorbs it more slowly and less reaches your brain. "
108,smoking,,What should you eat for dinner when trying to give up smoking?,beef burger; lamb meatballs; vegetarian pizza,2,"Is your after-dinner cigarette your favourite? A US study revealed that some foods, including meat, make cigarettes more satisfying. Others, including cheese, fruit and vegetables, make cigarettes taste terrible. So swap your usual steak or burger for a veggie pizza instead. "
109,smoking,,Which of the following makes a cigarette taste terrible? ,fizzy drinks; alcohol; cola; tea; fruit juice,4,"The same study looked at drinks. Fizzy drinks, alcohol, cola, tea and coffee all make cigarettes taste better. So when you're out, drink more water and juice. Some people find that simply changing their drink (for example, switching from wine to a vodka and tomato juice), affects their need to reach for a cigarette. "
110,smoking,,The combination of smoking and drinking heavily raises your risk of mouth cancer by: ,18 times; 28 times; 38 times; 48 times,2,"The combination of smoking and drinking heavily raises your risk of mouth cancer by 38 times. A craving can last five minutes. Before you give up, make a list of five-minute strategies. For example, you could leave the party for a minute, dance or go to the bar. "
111,smoking,,Non-smokers who breathe in second-hand smoke inhale more than:,"500 chemicals;  1,000 chemicals;  4,000 chemicals;  10,000 chemicals",2,"Non-smokers who breathe in second-hand smoke (smoke from other people's cigarettes) inhale more than 4,000 chemicals, at least 50 of which are known to cause cancer. For non-smokers, breathing other people's smoke means an increased risk of lung cancer, heart disease and stroke. "
112,smoking,,Children who live with smokers are how many times more likely to develop lung cancer later in life?,2 times; 3 times; 4 times; 5 times;,1,"For children, second-hand smoke three times the risk of getting lung cancer in later life compared with children who live with non- smokers. "
113,smoking,,"After 35, every year that you smoke you reduce your life expectancy by: ",1 month; 3 months; 6 months,1,Statistics suggest that every year after 35 that you continue to smoke can take an average of three months off your life. If you quit smoking before the age of 35 you're likely to have a full life expectancy. 
114,smoking,,How should you try to reduce weight gain as you give up smoking?,use stop smoking medicines; inevitable side-effect ;  dieting ,0,Stop smoking medicines such as nicotine-replacement therapy and the prescription tablets Zyban (bupropion) and Champix (varenicline) can double your chances of quitting successfully and also seem to help reduce weight gain in the first few months. Studies suggest it's better to tackle stopping smoking first before trying to lose any weight gained while quitting
115,smoking,,What fraction of quitter relapse in the presence of smokers? ,1/4; 1/2; 3/4; All;,2,It's also important to stay away from people who smoke. Nearly three quarters of all quitters who relapse do so in the presence of people who are smoking usually after having asked one of them for a cigarette! 
116,smoking,,Heavy smokers with diabetes increase their chance of death by:,nothing; 2 times; 3 times; 4 times;,1,Heavy smokers with diabetes have roughly double the chance of death from heart disease or stroke compared with non-smoking diabetics. 
117,smoking,,"10 years after quitting, do heavy smokers with diabetes still have an increased chance of death? ",no; yes by 5-10%; 10-30%; 30-40%,2,"People smoking up to 15 cigarettes a day have a 50% higher chance, while ex-smokers have a 10-30% increased chance, even 10 years after quitting. "
118,smoking,,Here is a list of consequence of giving up smoking. Which is not true?,improved circulation; improved sense of taste; increased stress levels; weight gain,2,"Scientific studies show that people's stress levels are lower after they stop smoking. Nicotine addiction makes smokers stressed from the Withdrawal between cigarettes. The pleasant feeling of satisfying that craving is only temporary and is not a real cure for stress. Also, the improved levels of oxygen in the body means that ex-smokers can concentrate better and have increased mental wellbeing. "
119,smoking,,"After quitting, how long does it take for your lungs to start to clear?",1 day; 1 week; 1 month; 1 year ,0,After 24 hours your lungs start to clear. 
120,smoking,,"After quitting, how long does it take for your energy to increase?",2 days; 3 days; 2 weeks; 3 weeks,1,"After three days you can breathe more easily, and your energy increases. "
